speaker,split,utt_id,target_word,epsilon,steps,raw_prediction,mapped_prediction,mapped_correct,target_rank,top3_hit,top5_hit,top10_hit,target_distance,duration_sec,wav_head_path,baseline_raw_prediction,baseline_mapped_prediction,baseline_target_rank,baseline_target_distance
F01,dev,6,stick,8e-05,2,slic,slip,0,12,0,0,0,2,1.399375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0006.wav,sneek,knee,34,3.0
F01,dev,6,stick,8e-05,3,luc,bug,0,215,0,0,0,4,1.399375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0006.wav,sneek,knee,34,3.0
F01,dev,6,stick,0.0001,2,slic,slip,0,12,0,0,0,2,1.399375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0006.wav,sneek,knee,34,3.0
F01,dev,6,stick,0.0001,3,look,lock,0,211,0,0,0,4,1.399375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0006.wav,sneek,knee,34,3.0
F01,dev,6,stick,0.00012,2,sic,sin,0,29,0,0,0,2,1.399375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0006.wav,sneek,knee,34,3.0
F01,dev,6,stick,0.00012,3,slic,slip,0,12,0,0,0,2,1.399375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0006.wav,sneek,knee,34,3.0
F01,dev,6,stick,0.00014,2,slic,slip,0,12,0,0,0,2,1.399375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0006.wav,sneek,knee,34,3.0
F01,dev,6,stick,0.00014,3,sluc,slay,0,41,0,0,0,3,1.399375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0006.wav,sneek,knee,34,3.0
F01,dev,6,stick,0.00016,2,snic,nice,0,10,0,0,1,2,1.399375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0006.wav,sneek,knee,34,3.0
F01,dev,6,stick,0.00016,3,sluc,slay,0,41,0,0,0,3,1.399375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0006.wav,sneek,knee,34,3.0
F01,dev,6,stick,0.00018,2,sic,sin,0,29,0,0,0,2,1.399375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0006.wav,sneek,knee,34,3.0
F01,dev,6,stick,0.00018,3,luc,bug,0,215,0,0,0,4,1.399375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0006.wav,sneek,knee,34,3.0
F01,dev,6,stick,0.0002,2,snik,said,0,11,0,0,0,2,1.399375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0006.wav,sneek,knee,34,3.0
F01,dev,6,stick,0.0002,3,luc,bug,0,215,0,0,0,4,1.399375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0006.wav,sneek,knee,34,3.0
F01,dev,9,pat,8e-05,2,ah,a,0,23,0,0,0,2,1.254625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0009.wav,pa,a,3,1.0
F01,dev,9,pat,8e-05,3,a,a,0,22,0,0,0,2,1.254625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0009.wav,pa,a,3,1.0
F01,dev,9,pat,0.0001,2,a,a,0,22,0,0,0,2,1.254625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0009.wav,pa,a,3,1.0
