speaker,split,utt_id,target_word,epsilon,steps,raw_prediction,mapped_prediction,mapped_correct,target_rank,top3_hit,top5_hit,top10_hit,target_distance,duration_sec,wav_head_path,baseline_raw_prediction,baseline_mapped_prediction,baseline_target_rank,baseline_target_distance
F01,dev,9,pat,8e-05,2,pe,he,0,20,0,0,0,2,1.254625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0009.wav,pu,a,15,2.0
F01,dev,9,pat,8e-05,3,peap,bear,0,13,0,0,0,2,1.254625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0009.wav,pu,a,15,2.0
F01,dev,9,pat,0.0001,2,pe,he,0,20,0,0,0,2,1.254625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0009.wav,pu,a,15,2.0
F01,dev,9,pat,0.0001,3,perap,bear,0,21,0,0,0,3,1.254625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0009.wav,pu,a,15,2.0
F01,dev,9,pat,0.00012,2,pat,pat,1,1,1,1,1,0,1.254625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0009.wav,pu,a,15,2.0
F01,dev,9,pat,0.00012,3,p,a,0,12,0,0,0,2,1.254625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0009.wav,pu,a,15,2.0
F01,dev,9,pat,0.00014,2,pat,pat,1,1,1,1,1,0,1.254625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0009.wav,pu,a,15,2.0
F01,dev,9,pat,0.00014,3,pe,he,0,20,0,0,0,2,1.254625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0009.wav,pu,a,15,2.0
F01,dev,9,pat,0.00016,2,pat,pat,1,1,1,1,1,0,1.254625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0009.wav,pu,a,15,2.0
F01,dev,9,pat,0.00016,3,per,peer,0,22,0,0,0,2,1.254625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0009.wav,pu,a,15,2.0
F01,dev,9,pat,0.00018,2,pat,pat,1,1,1,1,1,0,1.254625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0009.wav,pu,a,15,2.0
F01,dev,9,pat,0.00018,3,p,a,0,12,0,0,0,2,1.254625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0009.wav,pu,a,15,2.0
F01,dev,9,pat,0.0002,2,pat,pat,1,1,1,1,1,0,1.254625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0009.wav,pu,a,15,2.0
F01,dev,9,pat,0.0002,3,perap,bear,0,21,0,0,0,3,1.254625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0009.wav,pu,a,15,2.0
F01,dev,11,meat,8e-05,2,men,menu,0,10,0,0,1,2,1.5924375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0011.wav,me,he,13,2.0
F01,dev,11,meat,8e-05,3,me,he,0,13,0,0,0,2,1.5924375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0011.wav,me,he,13,2.0
F01,dev,11,meat,0.0001,2,men,menu,0,10,0,0,1,2,1.5924375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0011.wav,me,he,13,2.0
F01,dev,11,meat,0.0001,3,me,he,0,13,0,0,0,2,1.5924375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0011.wav,me,he,13,2.0
F01,dev,11,meat,0.00012,2,me,he,0,13,0,0,0,2,1.5924375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0011.wav,me,he,13,2.0
F01,dev,11,meat,0.00012,3,we,he,0,74,0,0,0,3,1.5924375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0011.wav,me,he,13,2.0
F01,dev,11,meat,0.00014,2,me,he,0,13,0,0,0,2,1.5924375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0011.wav,me,he,13,2.0
F01,dev,11,meat,0.00014,3,men,menu,0,10,0,0,1,2,1.5924375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0011.wav,me,he,13,2.0
